QueueId,Name,QueueArn
86edcf4f-aee7-4a2d-b6ac-59417b689f64,dsds2211,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/86edcf4f-aee7-4a2d-b6ac-59417b689f64
8d7e9b6d-efc0-43ce-a356-f834d3e47a12,3333333333344,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/8d7e9b6d-efc0-43ce-a356-f834d3e47a12
90eb47b5-3a34-4b6f-872f-f346ecfada98,DnA_Carrie_VetTest,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/90eb47b5-3a34-4b6f-872f-f346ecfada98
96978d54-d808-4bcb-8688-159ce9fcaad3,SG_OH_Escalate,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/96978d54-d808-4bcb-8688-159ce9fcaad3
9b723283-d04a-4b3c-a20f-b9c7b8b80237,Dom_Eng_COL_Commercial,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/9b723283-d04a-4b3c-a20f-b9c7b8b80237
9dc28ed0-01fc-4b55-a25b-31cb917199bc,222,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/9dc28ed0-01fc-4b55-a25b-31cb917199bc
9ef60c77-c624-48c5-933f-4a9dcba4af6e,fasfdsa fdsafas,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/9ef60c77-c624-48c5-933f-4a9dcba4af6e
9f55e76a-7f34-4145-9155-382f39bdce51,Customer Service,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/9f55e76a-7f34-4145-9155-382f39bdce51
a0d15fef-0e42-454f-99f5-a017075f588e,asfsdafsasdafsd32,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/a0d15fef-0e42-454f-99f5-a017075f588e
a46954e0-51cb-478b-acc9-29ed81a62dee,coryisawesome,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/a46954e0-51cb-478b-acc9-29ed81a62dee
a75275b2-59db-4512-a3d0-9d567261a9ab,NymanTurkish_NewLEAD,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/a75275b2-59db-4512-a3d0-9d567261a9ab
a7d35b3f-7ba1-4b0c-9b56-f267f5e6f605,3232232,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/a7d35b3f-7ba1-4b0c-9b56-f267f5e6f605
ad1695cd-3eba-465f-b399-8b71882d6888,DominionLightsOut,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/ad1695cd-3eba-465f-b399-8b71882d6888
b0581ef9-4cb7-4214-85b9-de4df4ae1a99,121,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/b0581ef9-4cb7-4214-85b9-de4df4ae1a99
b5a89dbe-f8ee-4b92-a057-30b96e7b9d57,GS_HEI_CustSvc_Honda_English_Inbound,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/b5a89dbe-f8ee-4b92-a057-30b96e7b9d57
b87f18f1-6a80-4016-9e44-6d22f1f11ff9,CustomerServiceModifiedFromTerraform3,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/b87f18f1-6a80-4016-9e44-6d22f1f11ff9
bdc5bb68-dbbc-4b05-a0ca-47e197320e5b,fdsafdsa,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/bdc5bb68-dbbc-4b05-a0ca-47e197320e5b
c02f45f3-63e5-4f40-921e-6f7587a359b1,SG_OH_General,arn:aws:connect:us-east-1:947529155395:instance/c77b5ada-3f83-42b6-8b26-0513cfdaf264/queue/c02f45f3-63e5-4f40-921e-6f7587a359b1
